ulasan,clean_ulasan
"Bagus..cukup membantu nearby bus,jd bs siap² ngantri😊over all bus trans jatim kereeennn🥰",baguscukup bantu nearby busjd bs siap ngantri over all bus trans jatim kereeennn
"Saya pengguna Trans Jatim koridor II, dengan armada Mitsubishi Canter bus, Trans Jatim sangat tidak nyaman, sedangkan pilihan lain ada bus Hino GB 150 L automatic, semoga kedepan ada armada atau mungkin bisa diganti dengan armada bertransmisi automatic saja, untuk pelayanan sudah sangat baik dan saya puas, terima kasih",saya guna trans jatim koridor ii dengan armada mitsubishi canter bus trans jatim sangat tidak nyaman sedang pilih lain ada bus hino gb l automatic moga depan ada armada atau mungkin bisa ganti dengan armada transmisi automatic saja untuk layan sudah sangat baik dan saya puas terima kasih
semoga segera sampai lamongan,moga segera sampai lamongan
Ramandani,ramandani
"Nyaman, hemat",nyaman hemat
Mantap....sub-mjk...,mantapsubmjk
"Kurangnya bus ke arah Gresik. Kalau bisa bus yang ke arah Gresik di tambahi, apalagi titik ramainya penumpang berada di terminal Purabaya. Kalau busnya banyak kan enak di penumpang juga gak sampai terhimpit karena antriannya banyak. Kadang saya antri dari jam 6 pagi, berangkatnya jam 9 pagi. Atau nggak busnya itu di besarin biar yang nggk dapat duduk bisa duduk.",kurang bus ke arah gresik kalau bisa bus yang ke arah gresik di tambah apalagi titik ramai tumpang ada di terminal purabaya kalau bus banyak kan enak di tumpang juga gak sampai terhimpit karena antri banyak kadang saya antri dari jam pagi berangkat jam pagi atau nggak bus itu di besarin biar yang nggk dapat duduk bisa duduk
Jam operasional nya tlong di beri tahukan karena sy menunggu dari jam 19.50 sampai skrg jam 20.51 baru tau bis tdk ada lagi😭🙏,jam operasional nya tlong di beri tahu karena sy tunggu dari jam sampai skrg jam baru tau bis tdk ada lagi
"Jadwal tidak jelas, mulai halte kosong sampe penuh itupun masih menunggu lama",jadwal tidak jelas mulai halte kosong sampe penuh itu masih tunggu lama
Info rutenya kurang lengkap,info rute kurang lengkap
Aplikasi sgt berguna untuk mengetahui lokasi dan jumlah penumpang yg berada didalam bus tersebut,aplikasi sgt guna untuk tahu lokasi dan jumlah tumpang yg ada dalam bus sebut
"bis setiap 15mnt brkt, tapi menjaga 15mnt-nya itu...tyt otobus kurang melihat peluang cuan.....byk penumpang menumpuk, bahkan di halte tidak terangkat pada jam² sibuk khususnya sabtu/minggu setelah ashar.....kenapa tdk tiap 5 mnt brkt, pdhl byk armada stay di terminal",bis tiap mnt brkt tapi jaga mntnya itutyt otobus kurang lihat peluang cuanbyk tumpang tumpuk bahkan di halte tidak angkat pada jam sibuk khusus sabtuminggu telah asharkenapa tdk tiap mnt brkt pdhl byk armada stay di terminal
Sangat membantu utk melihat info rute perjalanan bus trans,sangat bantu utk lihat info rute jalan bus trans
Ok,ok
Lumayan lah murahh,lumayan lah murahh
Good,good
Tambahkan pembayaran lewat dana dan gopay lah dev,tambah bayar lewat dana dan gopay lah dev
Judulnya trans Jatim tapi cuman Sidoarjo Surabaya wkwkwk kocak,judul trans jatim tapi cuman sidoarjo surabaya wkwkwk kocak
Bagus dan harus ditingkatkan lagi aplikasinya,bagus dan harus tingkat lagi aplikasi
JTM-119 • L 7036 UA supir mbi kernet gak due mripat,jtm l ua supir mbi kernet gak due mripat
Sangat membantu,sangat bantu
Ok,ok
"Sangat memudahkan saya& keluarga dan harganya murah meriah. Namun, mohon dari pihak pengelola, agar menambah personil di bis yg lebih tegas, karena saya sering melihat penumpang yg seharusnya prioritas tdk di prioritaskan penumpang lainnya, padahal sudah ada ketentuan ttg kursi prioritas di kaca bis. Terimakasih",sangat mudah saya keluarga dan harga murah riah namun mohon dari pihak kelola agar tambah personil di bis yg lebih tegas karena saya sering lihat tumpang yg harus prioritas tdk di prioritas tumpang lain padahal sudah ada tentu ttg kursi prioritas di kaca bis terimakasih
"Amat sangat membantu warga surabaya raya Bus ber AC, harga merakyat.",amat sangat bantu warga surabaya raya bus ber ac harga rakyat
"Tolong diperbaiki aplikasinya, dari minggu lalu tidak bisa tracking lokasi bus. Jd gabisa ngira2 masih jauh atau engga lokasi busnya. Pake hp lain juga sama gps bus ga muncul.",tolong baik aplikasi dari minggu lalu tidak bisa tracking lokasi bus jadi gabisa ngira masih jauh atau engga lokasi bus pake hp lain juga sama gps bus ga muncul
Bintang 4 dulu buat aplikasinya fiturnya oke GPS oke cuma kalo ada cctv di aplikasi pasti lebih oke tolong fitur cctv di tambahin biar lebih lengkap,bintang dulu buat aplikasi fiturnya oke gps oke cuma kalo ada cctv di aplikasi pasti lebih oke tolong fitur cctv di tambahin biar lebih lengkap
"Aplikasi yg cukup lengkap & membantu. Bisnya juga bersih, AC dinginnya merata & pas. Cocok utk trip dekat2. Klo untuk trip agak jauh,bikin pegal krn busa jok yg terlalu tipis & jok krg ergonomis jika dibanding dg jok bis mini pada umumnya. Tp worth it sih utk tarif yg cuma 5.000.",aplikasi yg cukup lengkap bantu bis juga bersih ac dingin rata pas cocok utk trip dekat klo untuk trip agak jauhbikin pegal krn busa jok yg terlalu tipis jok krg ergonomis jika banding dg jok bis mini pada umum tp worth it sih utk tarif yg cuma
Kapan Koridor 2 terintegrasi dengan Koridor 1 lagi min kalau dari Mojokerto mau ke Sidoarjo?,kapan koridor integrasi dengan koridor lagi min kalau dari mojokerto mau ke sidoarjo
"maaf banget, untuk arah mojokerto=>surabaya kenapa cuma sampai jam 7? padahal jadwal operasional nya 04.00 - 21.00",maaf banget untuk arah mojokertosurabaya kenapa cuma sampai jam padahal jadwal operasional nya
Gak memuaskan,gak muas
Bagus,bagus
Good sangat membantu,good sangat bantu
Berkah,berkah
"Saya sangat suka layanan ini, tidak seperti bus swasta yang selalu berdesak-desakan dan ugal-ugalan. Tolong ditambah lagi rutenya, kalau bisa rutenya mencakup satu jawa timur. Pastu laku keras. Harganya juga sangat terjangkau, mojokerto-surabaya cuma Rp. 5.000.",saya sangat suka layan ini tidak seperti bus swasta yang selalu berdesakdesakan dan ugalugalan tolong tambah lagi rute kalau bisa rute cakup satu jawa timur pastu laku keras harga juga sangat jangkau mojokertosurabaya cuma rp
driver rata2 kalo belok ngebut g enak,driver rata kalo belok ngebut g enak
Lumayanlah....buat menghindari kemacetan.,lumayanlahbuat hindar macet
sangat membantu,sangat bantu
Sukses terus trans jatim,sukses terus trans jatim
lost,lost
Sangat membantu perjalanan dari Porong Gresik Mojokerto🔥🔥🔥,sangat bantu jalan dari porong gresik mojokerto
Terima kasih . apk ini sangat membantu dan memudahkan penumpang bus untuk mengetahui perjalanan bus.,terima kasih apk ini sangat bantu dan mudah tumpang bus untuk tahu jalan bus
Transjatim keren!!,transjatim keren
sangat membantu perjalanan kami,sangat bantu jalan kami
sangat bermanfaat,sangat manfaat
Transjatim cettarrr,transjatim cettarrr
Sangat membantu untuk transportasi di Jawa timur,sangat bantu untuk transportasi di jawa timur
Transjatim ajaib sangat membantu sekali,transjatim ajaib sangat bantu sekali
Aplikasi andalan dan sangat membantu sekali,aplikasi andal dan sangat bantu sekali
"Transportasi aman,nyaman.murah dan pastinya aplikasi nya nggak ribet samasekali",transportasi amannyamanmurah dan pasti aplikasi nya nggak ribet samasekali
Sangat membantu sekali... Bisa tau letak di mana busnya dan jumlah penumpang di dalamnya,sangat bantu sekali bisa tau letak di mana bus dan jumlah tumpang di dalam
👍,
Semoga dengan adanya transjatim transportasi umum Jatim makin memadai,moga dengan ada transjatim transportasi umum jatim makin pada
"Aplikasi yg sangat penting untuk mengetahui rute, posisi bus, jumlah penumpang dan bisa lgsg kirim aduan di aplikasi ini jika ada kendala saat perjalanan, trimakasih transjatim sudah menyediakan aplikasi ini untuk bisa akses smua itu, sukses terusss",aplikasi yg sangat penting untuk tahu rute posisi bus jumlah tumpang dan bisa lgsg kirim adu di aplikasi ini jika ada kendala saat jalan trimakasih transjatim sudah sedia aplikasi ini untuk bisa akses smua itu sukses terusss
Terbaik,baik
Sangat membantu,sangat bantu
💚💚💚💚💚,
Aplikasi yg sangat membantu melihat posisi bus,aplikasi yg sangat bantu lihat posisi bus
Sangat membantu,sangat bantu
Terbaik dan sangat membantu sekali dalam menggunakan bus transjatim,baik dan sangat bantu sekali dalam guna bus transjatim
Sangat membantu memantau kedatangan bus,sangat bantu pantau datang bus
Naik bus jadi lebih mudah,naik bus jadi lebih mudah
Good,good
Sangat membantu,sangat bantu
👍,
Pelayanan yang terbaik,layan yang baik
"Wagilasih app nya keren bgt, managemen nya juga, pra nya juga, ppa nya juga, timer nya juga, kcl pnp nya gak keren 🙏",wagilasih app nya keren banget managemen nya juga pra nya juga ppa nya juga timer nya juga kcl pnp nya gak keren
Transportasi nyaman dan murah,transportasi nyaman dan murah
"MANTAP & SANGAT MEMBANTU PARA PEKERJA, KARYAWAN DAN JUGA PARA PELAJAR DENGAN BIAYA EKONOMIS DAN HEMAT. TERUS DITINGKATKAN PELAYANAN DARI SEGI SERVICE MAUPUN HANDLE CONPLAIN TRANS JATIM 👍",mantap sangat bantu para kerja karyawan dan juga para ajar dengan biaya ekonomis dan hemat terus tingkat layan dari segi service maupun handle conplain trans jatim
Sangat membantu untuk melihat posisi bis sebelum masuk + ada promo astrapay,sangat bantu untuk lihat posisi bis belum masuk ada promo astrapay
Sangat membantu,sangat bantu
💯💯,
Mantultultul.. Cek posisi bis lebih akurat,mantultultul cek posisi bis lebih akurat
keren sangat memudahkan dan membantu. Bisa tau bis nya sampai mana jadi bisa lebih efektif. Dan bisa tau halte² nya. Terimakasih 👍,keren sangat mudah dan bantu bisa tau bis nya sampai mana jadi bisa lebih efektif dan bisa tau halte nya terimakasih
is good very good,is good very good
"Aplikasinya sangat membantu kamii buat melihat bus sudah dimana, terimakasih transjatim sudah melayani kami dengan baik 🥰🥰🥰😍",aplikasi sangat bantu kami buat lihat bus sudah mana terimakasih transjatim sudah layan kami dengan baik
Aplikasi sangat membantu untuk mengetahui seputar Trans Jatim,aplikasi sangat bantu untuk tahu putar trans jatim
Aplikasi yg sangat membantu naik Trans jatim,aplikasi yg sangat bantu naik trans jatim
Sangat membantu,sangat bantu
"Bisnya nyaman, bersih..",bis nyaman bersih
Sangat membantu dlm pekerjaan,sangat bantu dlm kerja
Tolong lagunya kalau bisa setiap Minggu diganti dong 😭 nanti dikasih bintang lagi,tolong lagu kalau bisa tiap minggu ganti dong nanti kasih bintang lagi
Untuk rute Mojokerto Batu kenapa tidak ada layanan ya di aplikasi ini? apa khusus bus yang aktif di aplikasi ini? elf tidak ada?,untuk rute mojokerto batu kenapa tidak ada layan ya di aplikasi ini apa khusus bus yang aktif di aplikasi ini elf tidak ada
"Assalamualaikum, Sedikit informasi bagi pengguna elf/travel trans jatim jurusan batu, di harap untuk menunggu jadwal pemberangkatan elf di halte terminal yang sudah di tempatkan, jika kalian sudah datang sebelum jam pemberangkatan dan tidak menunggu di halte tersebut, atau menunggu diluar halte maka kalian tidak akan di hitung menunggu oleh supirnya meskipun nanti kalian balik lagi ke terminal, Terimakasih wassalamu'alaikum 🙏🏻",assalamualaikum sedikit informasi bagi guna elftravel trans jatim jurus batu di harap untuk tunggu jadwal berangkat elf di halte terminal yang sudah di tempat jika kalian sudah datang belum jam berangkat dan tidak tunggu di halte sebut atau tunggu luar halte maka kalian tidak akan di hitung tunggu oleh supirnya meski nanti kalian balik lagi ke terminal terimakasih wassalamualaikum
Mantab,mantab
"Apakah hari rabu, tgl 14 bis jatim libur",apakah hari rabu tgl bis jatim libur
ok,ok
"aplikasi memudahkan untuk memantau bis, mungkin bisa diperbaiki lagi agar lebih akurat",aplikasi mudah untuk pantau bis mungkin bisa baik lagi agar lebih akurat
Ok,ok
"Bagus aplikasinya, cukup ringan di device spek low-mid buat aplikasi yg berguna utk mobilitas. Real time tracking akurasinya bagus. Untuk ukuran aplikasi buatan pemerintah ini 👍👍",bagus aplikasi cukup ringan di device spek lowmid buat aplikasi yg guna utk mobilitas real time tracking akurasi bagus untuk ukur aplikasi buat perintah ini
Harusnya daro mojokerto bisa langsung turun ke bungurasih,harus daro mojokerto bisa langsung turun ke bungurasih
Nyaman bngt,nyaman bngt
Makin baik semoga.,makin baik moga
Mantull,mantull
Sangat membantu,sangat bantu
Jc b 75.000 ⁷ovy⁸ aku mdi 6556t6r⁶,jc b ovy aku mdi tr
Kembalikan k2 ke bungurasih,kembali k ke bungurasih
Kapan trayek Surabaya - Bangkalan mulai beroperasi?,kapan trayek surabaya bangkal mulai operasi
Good,good
Saya belum naik bus trans Jatim sudah seneng melihat beritanya,saya belum naik bus trans jatim sudah neng lihat berita
"Aplikasi sangat membantu memantau bus yg akan datang, sayangnya belum ada fitur yg menginformasikan apabila bus terakhir sudah lewat atau sudah beroperasi sehingga penumpang tetap menunggu.",aplikasi sangat bantu pantau bus yg akan datang sayang belum ada fitur yg informasi apabila bus akhir sudah lewat atau sudah operasi sehingga tumpang tetap tunggu
"Busnya bagus, bersih. Cuma disayangkan aja turunnya di halte medaeng dan harus oper kendaraan lain untuk naik bis ke bungurasih, harusnya lebih enak langsung ke bungurasih aja sih terlebih orang-orang yang bawa koper biar gak ribet dan tambahkan metode pembayaran online yg lain donk, jangan pake astrapay. Trims.",bus bagus bersih cuma sayang aja turun di halte medaeng dan harus oper kendara lain untuk naik bis ke bungurasih harus lebih enak langsung ke bungurasih aja sih lebih orangorang yang bawa koper biar gak ribet dan tambah metode bayar online yg lain donk jangan pake astrapay trims
payment harusnya bisa pake QRIS 😌,payment harus bisa pake qris
"Buruk, sangat lambat,. kalo supirnya gak niat ganti aja. Gak bisa sat set",buruk sangat lambat kalo supirnya gak niat ganti aja gak bisa sat set
Semoga tambah sukses,moga tambah sukses
"Waktu masih peluncuran dr mojokerto bisa turun sampai bungurasih, makin kesini jurusan surabaya terakhir turun halte medaeng tidak di bungurasih lagi... Parah nya lagi tidak ada bus jurusan lain yg transit ke halte medaeng ke bungurasih... Bukannya nambah halte buat mempermudah malah mempersulit, yg seharusnya bisa langsung oper ke bus antar kota, skrg ke bungurasih harus oper lagi naik ojek online / ojek pengkolan",waktu masih luncur dr mojokerto bisa turun sampai bungurasih makin kesini jurus surabaya akhir turun halte medaeng tidak di bungurasih lagi parah nya lagi tidak ada bus jurus lain yg transit ke halte medaeng ke bungurasih bukan nambah halte buat mudah malah sulit yg harus bisa langsung oper ke bus antar kota skrg ke bungurasih harus oper lagi naik ojek online ojek pengkol
"Perjalanan yg nyaman, aman & murah",jalan yg nyaman aman murah
"Untuk Koridor 2, dulu seneng banget, bisa langsung ke Bungurasih jadi Kita kalau mau kemana mana gampang, tapi jadi sangat kecewa banget sekarang hanya sampai Halte Medaeng. Kami sangat berharap bisa masuk ke terminal Bungurasih lagi. Terimakasih.",untuk koridor dulu neng banget bisa langsung ke bungurasih jadi kita kalau mau mana mana gampang tapi jadi sangat kecewa banget sekarang hanya sampai halte medaeng kami sangat harap bisa masuk ke terminal bungurasih lagi terimakasih
sangat membantu sekali🙂,sangat bantu sekali
KATANYA EVALUASI TAPI TIDAK ADA SOLUSI.,kata evaluasi tapi tidak ada solusi
K2 turun Medaeng ..kecewa...,k turun medaeng kecewa
Koridor 2 rute paling tolol. Gak akan naik dan akan saya ajak semua orang buat gak naik selama belum ada evaluasi,koridor rute paling tolol gak akan naik dan akan saya ajak semua orang buat gak naik lama belum ada evaluasi
Kalau dari Surabaya mau ke Mojokerto naikknya dari halte mana y?,kalau dari surabaya mau ke mojokerto naikknya dari halte mana y
*1 ae..sampe halte medaeng di ilangno Duso loh meruwetkan hidup orang lain min sariminnnnn,aesampe halte medaeng di ilangno duso loh ruwet hidup orang lain min sariminnnnn
Sangat di sayangkan antara koridor 1 dan koridor 2 tidak terhubung. Dikarenakan koridor 2 tidak masuk ke terminal Purabaya. Dan koridor 1 juga tidak berhenti di halte medaeng. Bukannya membantu malah mikir 2 kali kalau mau naik. Perjalanan yang membutuh kan 2 koridor yang tak saling terhubung.,sangat di sayang antara koridor dan koridor tidak hubung karena koridor tidak masuk ke terminal purabaya dan koridor juga tidak henti di halte medaeng bukan bantu malah mikir kali kalau mau naik jalan yang butuh kan koridor yang tak saling hubung
"Sampah banget, rute mojokerto Surabaya. Mending naik becak ga ribet.",sampah banget rute mojokerto surabaya mending naik becak ga ribet
"Harusnya berhenti di halte medaeng yg dari bunder yg dari porong, makin susah",harus henti di halte medaeng yg dari bunder yg dari porong makin susah
"Ternyata salah halte nunggu sampe 2jam, dikasih info dong di aplikasinya biar tau kalo pindah halte sby ke mojokerto",nyata salah halte nunggu sampe jam kasih info dong di aplikasi biar tau kalo pindah halte sby ke mojokerto
"Tidak bisa cek bus , error pdhl sudah update",tidak bisa cek bus error pdhl sudah update
"Tolong dong yg jurusan mojokerto gresik jalurnya jangan belok lespadangan. Kan bisa lewat Gedek, japanan, kemlagi, baru balik lagi ke balongpanggang. Soalnya kan kalo lewat gedek banyak fasilitas umum sperti rumah sakit. Pabrik pabrik jadi InsyaAllah lebih baik lewat gedek dari pada lewat lespadangan",tolong dong yg jurus mojokerto gresik jalur jangan belok lespadangan kan bisa lewat gedek japan kemlagi baru balik lagi ke balongpanggang soal kan kalo lewat gedek banyak fasilitas umum sperti rumah sakit pabrik pabrik jadi insyaallah lebih baik lewat gedek dari pada lewat lespadangan
"Untuk koridor 2, Awalnya nyenengin,praktis bisa langsung ke purabaya sekarang nyusahin",untuk koridor awal nyenenginpraktis bisa langsung ke purabaya sekarang nyusahin
"Skip, admin anti kritik saran.. Sarana medsos untuk wadah terbuka bagi masyarakat berbagi informasi juga dibatasi.. Semoga segera berbenah lebih baik",skip admin anti kritik saran sarana medsos untuk wadah buka bagi masyarakat bagi informasi juga batas moga segera benah lebih baik
Sudah tidak terkoneksi antara koridor dan antara moda transportasi umum lagi. Harusnya koridor 1 dan koridor 2 terkoneksi langsung. Kalau begini menyusahkan,sudah tidak koneksi antara koridor dan antara moda transportasi umum lagi harus koridor dan koridor koneksi langsung kalau begini susah
"Tolong sopirnya di suruh hati hati, kalau pas ngawur, nanti ada yg lempar batu di salahin, yang lempar",tolong sopir di suruh hati hati kalau pas ngawur nanti ada yg lempar batu di salahin yang lempar
"Kenapa skg gak bisa turun ke Bungurasih,skg tambah ribet",kenapa skg gak bisa turun ke bungurasihskg tambah ribet
Kenapa jalur mjk-bungur dihapus? Dahlah,kenapa jalur mjkbungur hapus dah
KECEWA!! KARENA SEKARANG TIDAK MASUK TERMINAL BUNGURASIH.,kecewa karena sekarang tidak masuk terminal bungurasih
BisA di tambH halte 2 nya Di geluran gk ada halte sama sekali Terima kasih,bisa di tambh halte nya di geluran gk ada halte sama sekali terima kasih
"Terimakasih telah menghilangkan Koridor 2 dari bungur, kalok ada yg susah kenapa harus mudah",terimakasih telah hilang koridor dari bungur kalok ada yg susah kenapa harus mudah
"Kecewa, karena halte terakhir k2 sekarang di Medaeng, tidak masuk bunggur. Padahal sudah bagus masuk ke bunggur orang bisa fleksibel mau kemana aja bisa",kecewa karena halte akhir k sekarang di medaeng tidak masuk bunggur padahal sudah bagus masuk ke bunggur orang bisa fleksibel mau mana aja bisa
Jos,jos
kenapa halte terakhir turun Medaeng gak turun bungur ? tambah jauh belum macet muter bunderan waru,kenapa halte akhir turun medaeng gak turun bungur tambah jauh belum macet muter bunderan waru
"saat sya cek di aplikasi, kenapa metode pembayarannya hanya astrapay saja yaaa??? kenapa gak di adain metode lainnya jg, sperti shopeepay, gopay dll. atau bisa pakai QRIS saja.",saat sya cek di aplikasi kenapa metode bayar hanya astrapay saja yaaa kenapa gak di adain metode lain jg sperti shopeepay gopay dll atau bisa pakai qris saja
keren,keren
Ditambah lagi koridor nyaa,tambah lagi koridor nyaa
Wifi di halte gelora jokosamudro di password,wifi di halte gelora jokosamudro di password
Mantap perluas operasi nya dong,mantap luas operasi nya dong
Tolong dong untuk keberangkatan jam pulang kerja di tambah lagi untuk rute bunder-bungurasih... Estimasi menunggu cukup lama. TERIMA KASIH,tolong dong untuk berangkat jam pulang kerja di tambah lagi untuk rute bunderbungurasih estimasi tunggu cukup lama terima kasih
Tertolong,tolong
Apknya Mudah di pahami Rutenya semakin banyak Busnya juga semakin banyak.,apknya mudah di paham rute makin banyak bus juga makin banyak
"saran aja, yang tujuan akhir Terminal bunder dari terminal purabaya, ditambahin bus ke arah gresik, di halte banyak orang yang mengantri ke arah gresik, tapi yang banyak busnya malah ke arah kertajaya & sidoarjo",saran aja yang tuju akhir terminal bunder dari terminal purabaya ditambahin bus ke arah gresik di halte banyak orang yang antri ke arah gresik tapi yang banyak bus malah ke arah kertajaya sidoarjo
Jouus,jouus
"Jam2 /hari2 tertentu spya di tambah armada nya,",jam hari tentu spya di tambah armada nya
Bus Transjatim semoga kedepannya semakin sukses..,bus transjatim moga depan makin sukses
Sangattt Membantu Bagi Kami Yg Perantauan Mau Pulkam.....Terima Kasih TRANSJATIM Semangatt Buat Para Kru yg Bertugas Terimakasi Atas Pelayanan nya.....🌟🌟🌟🌟🌟,sangattt bantu bagi kami yg rantau mau pulkamterima kasih transjatim semangatt buat para kru yg tugas terimakasi atas layan nya
"Pelayanan sangat memuaskan d jg driver am pramugari sopan d santun,salam sejahtera",layan sangat muas d jg driver am pramugari sopan d santunsalam sejahtera
Good,good
Mantap,mantap
"merakyat suka sekali jadi bisa ke surabaya,gresik dgn beaya murah..mantap👍👍",rakyat suka sekali jadi bisa ke surabayagresik dgn beaya murahmantap
Aplikasinya sangat membantu sekali... sekarang semua posisi bus kota dapat dipantau di cukup 1 aplikasi saja,aplikasi sangat bantu sekali sekarang semua posisi bus kota dapat pantau di cukup aplikasi saja
Mempermudah,mudah
Hebat sistem transportasi Transjatim. Saya sangat terbantu jika mau kesurabaya. Sebab jadwal keberangkatan ga perlu lama menunggu armadanya banyak.. semoga dipertahankan syukur2 bisa ditingkatkan lagi. Terimakasih TransJatim,hebat sistem transportasi transjatim saya sangat bantu jika mau kesurabaya sebab jadwal berangkat ga perlu lama tunggu armada banyak moga tahan syukur bisa tingkat lagi terimakasih transjatim
Sangat membantu perjalanan kerjaku.. halte perlu ditambah lagi,sangat bantu jalan kerja halte perlu tambah lagi
Good,good
Bis nya udah enak nyaman tapi pramugari jihan kok jahat banget ya gak menghargai penumpang dan juga kalo pagi gak real banget jumlah penumpang dan di aplikasi apa mungkin ada oknum nakal,bis nya udah enak nyaman tapi pramugari jih kok jahat banget ya gak harga tumpang dan juga kalo pagi gak real banget jumlah tumpang dan di aplikasi apa mungkin ada oknum nakal
mohon di pertimbangkan batas maksimum nya klo 40 orang terlalu sesak. klo bisa di kurangi batas maksimum nya,mohon di timbang batas maksimum nya klo orang terlalu sesak klo bisa di kurang batas maksimum nya
Sekedar saran aja pintu masuk halte menaikan penumpang di terminal Bungurasih jangan cuma satu,dar saran aja pintu masuk halte naik tumpang di terminal bungurasih jangan cuma satu
Bagus!,bagus
masukan aja 1. bisa di tambah kan metode pembayaran/e-payment lainnya 2. bisa di tambahkan halte halte kecil untuk jalur luar kota dan sukses terus untuk mempermudah perjalanan dan membangun ekonomi daerah,masuk aja bisa di tambah kan metode pembayaranepayment lain bisa di tambah halte halte kecil untuk jalur luar kota dan sukses terus untuk mudah jalan dan bangun ekonomi daerah
Bisakah bus ini on time kayak di japan kedepannya 😁 biar yang kerja dan sekolah gak telat,bisa bus ini on time kayak di japan depan biar yang kerja dan sekolah gak telat
"28/09/2023 Koridor 106 tujuan gresik, pengisian BBM di SPBU depan purabaya memakan waktu lebih dari 25mnt, menurut saya kurang efisien. Sampai tersalib bus koridor 107. Untuk pengisian BBM apakah tidak bisa dilakukan ketika bus menunggu keberangkatan disekitar terminal bunder atau porong",koridor tuju gresik isi bbm di spbu depan purabaya makan waktu lebih dari mnt turut saya kurang efisien sampai salib bus koridor untuk isi bbm apakah tidak bisa laku ketika bus tunggu berangkat sekitar terminal bunder atau porong
Sangat membantu,sangat bantu
"Usul : 1. ada angkutan feeder dari dan ke obyek wisata pemandian air panas pacet. 2. Rute koridor pertama kenapa harus rute tol , apa tidak mampir ke terminal osowilangun Surabaya",usul ada angkut feeder dari dan ke obyek wisata mandi air panas pacet rute koridor pertama kenapa harus rute tol apa tidak mampir ke terminal osowilangun surabaya
"Metode pembayarannya nya masih kurang opsinya, semoga kedepannya ada lebih banyak opsinya, terimakasih",metode bayar nya masih kurang opsi moga depan ada lebih banyak opsi terimakasih
"Semoga bus transjatim bisa menambah jalurnya yakni krian - mojosari atau sebaliknya.. karena wilayah mojosari sangat sulit angkutan padahal juga banyak beberapa perusahaan, pesantren, dll.. angkutan hanya ada bus kuning saja, itupun performanya sama dengan bus hijau ..",moga bus transjatim bisa tambah jalur yakni krian mojosari atau balik karena wilayah mojosari sangat sulit angkut padahal juga banyak beberapa usaha pesantren dll angkut hanya ada bus kuning saja itu performa sama dengan bus hijau
Trans Jatim memang okey,trans jatim memang okey
Makin kesini supirnya semakin seenaknya sendiri 🤦‍♂️ udah tau jadwalnya berangkat tapi supir tidak ditempat ( harus mencari dulu),makin kesini supirnya makin enak sendiri udah tau jadwal berangkat tapi supir tidak tempat harus cari dulu
Mohon daerah sekitar medaeng di beri halte juga pak.,mohon daerah sekitar medaeng di beri halte juga pak
Mohon disesuaikan pembayaran agar lebih mudah dan banyak pilihan klo bisa langsung scan diterminal.saat mau masuk bus,mohon sesuai bayar agar lebih mudah dan banyak pilih klo bisa langsung scan diterminalsaat mau masuk bus
"Bus ""TRANSJATIM"" (Gresik-sidoarjo) terlalu lama ""ngetime"" di terminal bunder ( Khususnya di hari sabtu ) padahal tempat duduk. Di dalam bus sudah penuh, dan masih banyak bus. trans jatim di belakang. Pertimbangkan penumpang yg di halte. Sebanyak apa penumpang yg masih menunggu. Tolong Dipertimbangkn, percuma ada banyak armada Bus. Tapi armada yg beroperasi tidak melihat kondisi Penumpang yg ada di lapangan. Beroperasi sesuai jadwal boleh, tapi di hari dan bukan di WAKTU JAM SIBUK.",bus transjatim gresiksidoarjo terlalu lama ngetime di terminal bunder khusus di hari sabtu padahal tempat duduk di dalam bus sudah penuh dan masih banyak bus trans jatim di belakang timbang tumpang yg di halte banyak apa tumpang yg masih tunggu tolong dipertimbangkn percuma ada banyak armada bus tapi armada yg operasi tidak lihat kondisi tumpang yg ada di lapang operasi sesuai jadwal boleh tapi di hari dan bukan di waktu jam sibuk
armadanya kurang banyak msak nngu smpe 2 jam. Tolongpak di perbaiki lagi,armada kurang banyak msak nngu smpe jam tolongpak di baik lagi
"Over-all bagus . Tapi metode pembayarannya hanya bisa dilakukan lewat astra pay , semoga kedepannya bisa melakukan pembayaran lewat QRIS . Karna pembayaran lewat QRIS lebih fleksibel , mudah dan aman . Nggak perlu lagi ribet install dan daftar aplikasi astra pay",overall bagus tapi metode bayar hanya bisa laku lewat astra pay moga depan bisa laku bayar lewat qris karna bayar lewat qris lebih fleksibel mudah dan aman nggak perlu lagi ribet install dan daftar aplikasi astra pay
"Mohon sediakan rute sidoarjo surabaya, untuk menjangkau rute bungurasih ke kota sidoarjo",mohon sedia rute sidoarjo surabaya untuk jangkau rute bungurasih ke kota sidoarjo
Baru donlut. Oh ya min metode pembayaran di tambah doonk. Pakek qris gitulooh biar gampang.,baru donlut oh ya min metode bayar di tambah doonk pakek qris gitulooh biar gampang
"Halte Pemberhentian nya di tambah dong min,khususnya Area Bakung Temenggung",halte henti nya di tambah dong minkhususnya area bakung temenggung
"kalo bisa mohon untuk di buka rute untuk BUNGGUR - PERAK,BUNGGUR - WILANGON",kalo bisa mohon untuk di buka rute untuk bunggur perakbunggur wilangon
